="维度一：描述性统计"
="",="(1)",="",="",="",=""
="",="",="",="",="",=""
="",="count",="mean",="sd",="min",="max"
="esg",="4437",="0.749",="0.168",="0.195",="1.300"
="esg_w",="4437",="0.749",="0.168",="0.207",="1.303"
="DID",="4437",="0.149",="0.357",="0.000",="1.000"
="SIZE",="4437",="1.25e+07",="1.46e+06",="1.01e+07",="1.50e+07"
="ISR",="4437",="49.854",="11.471",="30.423",="69.565"
="ROE",="4437",="13.070",="2.865",="8.116",="17.909"
="ARR",="4437",="12.461",="4.332",="5.132",="19.854"
="TE",="4437",="6.50e+06",="8.71e+05",="5.02e+06",="7.96e+06"
="LEV",="4437",="52.416",="7.232",="40.234",="64.673"
="N",="4437",="",="",="",=""
