="表2 维度三异质性分析：机构持股分组"

="",="(1)",="(2)"
="",="outcome_metrics",="outcome_metrics"

="rel_year_m5",="13.28",="6.842"
="",="(21.32)",="(13.79)"

="rel_year_m4",="19.60",="0.675"
="",="(13.13)",="(10.34)"

="rel_year_m3",="-3.463",="-12.96*"
="",="(9.046)",="(6.943)"

="rel_year_m2",="1.405",="1.112"
="",="(11.38)",="(9.447)"

="rel_year_0",="5.214",="2.753"
="",="(10.80)",="(9.290)"

="rel_year_1",="7.381",="6.118"
="",="(9.383)",="(10.26)"

="rel_year_2",="12.89",="0.406"
="",="(9.498)",="(10.39)"

="rel_year_3",="18.91**",="10.65"
="",="(8.508)",="(7.527)"

="rel_year_4",="8.694",="5.394"
="",="(9.712)",="(8.141)"

="rel_year_5",="-0.00897",="20.76**"
="",="(11.68)",="(8.446)"

="rel_year_6",="14.05",="41.02***"
="",="(16.01)",="(11.20)"

="rel_year_7",="31.28**",="37.50***"
="",="(13.81)",="(10.83)"

="rel_year_8",="68.77***",="76.73***"
="",="(10.16)",="(10.78)"

="rel_year_9",="8.476",="55.41***"
="",="(13.03)",="(11.48)"

="size",="7.044",="6.346"
="",="(4.748)",="(4.785)"

="ROE",="0.918***",="0.211"
="",="(0.310)",="(0.331)"

="ZCFZL",="0.115",="0.317***"
="",="(0.138)",="(0.121)"

="jgcg",="0.259",="0.0120"
="",="(0.168)",="(0.153)"

="NHSYL",="-0.353",="-0.0550"
="",="(0.217)",="(0.220)"

="2013.year",="0",="0"
="",="(.)",="(.)"

="2014.year",="-24.97***",="-20.55***"
="",="(4.007)",="(3.959)"

="2015.year",="0.0536",="0.833"
="",="(4.180)",="(4.206)"

="2016.year",="-5.043",="-1.778"
="",="(4.367)",="(4.197)"

="2017.year",="-1.369",="-2.920"
="",="(4.485)",="(4.206)"

="2018.year",="0.246",="6.405"
="",="(4.147)",="(4.042)"

="2019.year",="6.950*",="10.86**"
="",="(4.166)",="(4.251)"

="2020.year",="20.90***",="19.34***"
="",="(4.245)",="(4.168)"

="2021.year",="24.61***",="23.15***"
="",="(4.546)",="(4.091)"

="2022.year",="45.74***",="46.22***"
="",="(4.571)",="(4.523)"

="_cons",="27.21",="35.76**"
="",="(19.56)",="(18.02)"

="N",="1092",="1090"
="企业固定效应",="",=""
="年度固定效应",="",=""

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
