="表2 维度二异质性分析：机构持股分组"

="",="(1)",="(2)"
="",="负面新闻数_t1",="负面新闻数_t1"

="负面新闻数_t1",="",=""
="esg",="0.153",="0.0810"
="",="(0.108)",="(0.0948)"

="Treat",="-0.341***",="-0.751***"
="",="(0.0907)",="(0.0706)"

="ESG_Treat",="0.327*",="1.808***"
="",="(0.191)",="(0.194)"

="ln_size",="0.376***",="0.374***"
="",="(0.0311)",="(0.0294)"

="ZCFZL",="0.00597**",="0.00438*"
="",="(0.00232)",="(0.00245)"

="ROE",="-0.00498",="0.00225"
="",="(0.00611)",="(0.00576)"

="jgcg",="-0.00938**",="-0.00373"
="",="(0.00398)",="(0.00353)"

="1.id",="0",="0"
="",="(.)",="(.)"

="2.id",="-0.114***",="-0.347***"
="",="(0.0406)",="(0.0376)"

="3.id",="-0.178***",="-0.532***"
="",="(0.0357)",="(0.0384)"

="4.id",="0.232***",="-0.0984***"
="",="(0.0455)",="(0.0306)"

="5.id",="0.329***",="-0.219***"
="",="(0.0446)",="(0.0349)"

="6.id",="0.611***",="0.881***"
="",="(0.0382)",="(0.0660)"

="7.id",="0.0119",="0.0921*"
="",="(0.0378)",="(0.0523)"

="8.id",="0.478***",="-0.335***"
="",="(0.0385)",="(0.0448)"

="9.id",="0.318***",="0.0702*"
="",="(0.0586)",="(0.0425)"

="10.id",="-0.283***",="-0.296***"
="",="(0.0410)",="(0.0305)"

="11.id",="0.725***",="-0.111***"
="",="(0.0515)",="(0.0349)"

="12.id",="-0.362***",="-0.423***"
="",="(0.0553)",="(0.0258)"

="13.id",="0.305***",="0.0935**"
="",="(0.0465)",="(0.0364)"

="14.id",="0.428***",="-0.406***"
="",="(0.0443)",="(0.0441)"

="15.id",="0.769***",="0.769***"
="",="(0.0472)",="(0.0386)"

="16.id",="-0.159***",="0.0762"
="",="(0.0386)",="(0.0494)"

="17.id",="-0.218***",="0.249***"
="",="(0.0463)",="(0.0609)"

="18.id",="0.309***",="-0.344***"
="",="(0.0457)",="(0.0260)"

="19.id",="0.0519",="-0.0387"
="",="(0.0395)",="(0.0463)"

="20.id",="-0.351***",="-0.276***"
="",="(0.0516)",="(0.0318)"

="21.id",="-0.256***",="-0.0675***"
="",="(0.0638)",="(0.0227)"

="22.id",="0.165***",="-0.431***"
="",="(0.0361)",="(0.0387)"

="23.id",="-0.180***",="-0.547***"
="",="(0.0485)",="(0.0448)"

="24.id",="0.436***",="0.562***"
="",="(0.0597)",="(0.0340)"

="25.id",="-0.00525",="-0.278***"
="",="(0.0388)",="(0.0317)"

="26.id",="0.0585",="0.318***"
="",="(0.0391)",="(0.0391)"

="27.id",="0.0309",="0.0131"
="",="(0.0373)",="(0.0472)"

="28.id",="0.0651*",="-0.500***"
="",="(0.0344)",="(0.0443)"

="29.id",="-0.577***",="-0.501***"
="",="(0.0471)",="(0.0384)"

="30.id",="-0.00355",="-0.0777"
="",="(0.0334)",="(0.0568)"

="31.id",="0.0891",="0.421***"
="",="(0.0582)",="(0.0317)"

="32.id",="-0.208***",="-0.0253"
="",="(0.0362)",="(0.0228)"

="33.id",="0.296***",=""
="",="(0.0548)",=""

="34.id",="0.00994",="0.166***"
="",="(0.0323)",="(0.0417)"

="35.id",="0.302***",="0.124***"
="",="(0.0464)",="(0.0314)"

="36.id",="0.208***",="-0.101***"
="",="(0.0396)",="(0.0381)"

="37.id",="0.125***",="-0.233***"
="",="(0.0396)",="(0.0329)"

="38.id",="0.221***",="0.0452"
="",="(0.0380)",="(0.0555)"

="39.id",="-0.252***",="-0.587***"
="",="(0.0477)",="(0.0282)"

="40.id",="0.120***",="-0.353***"
="",="(0.0348)",="(0.0381)"

="41.id",="-0.0978***",="-0.536***"
="",="(0.0368)",="(0.0391)"

="42.id",="0.151***",="-0.00471"
="",="(0.0484)",="(0.0630)"

="43.id",="0.236***",="0.479***"
="",="(0.0445)",="(0.0415)"

="44.id",="0.0252",="-0.175***"
="",="(0.0406)",="(0.0449)"

="45.id",="-0.149***",="0.129***"
="",="(0.0526)",="(0.0390)"

="46.id",="0.448***",="-0.189***"
="",="(0.0463)",="(0.0428)"

="47.id",="0.0630",="-0.283***"
="",="(0.0457)",="(0.0438)"

="48.id",="0.594***",="0.517***"
="",="(0.0414)",="(0.0376)"

="49.id",="0.320***",="0.378***"
="",="(0.0501)",="(0.0393)"

="50.id",="0.458***",="-0.125***"
="",="(0.0536)",="(0.0244)"

="51.id",="-0.314***",="-0.457***"
="",="(0.0262)",="(0.0391)"

="52.id",="0.0760**",="-0.395***"
="",="(0.0311)",="(0.0298)"

="53.id",="0.347***",="0.472***"
="",="(0.0321)",="(0.0474)"

="54.id",="0.0270",="-0.651***"
="",="(0.0429)",="(0.0360)"

="55.id",="-0.476***",="0.639***"
="",="(0.0641)",="(0.0338)"

="56.id",="0.0163",="0.360***"
="",="(0.0499)",="(0.0519)"

="57.id",="0.848***",="0.607***"
="",="(0.0523)",="(0.0339)"

="58.id",="0.581***",="0.152***"
="",="(0.0516)",="(0.0361)"

="59.id",="0.155***",="0.0888*"
="",="(0.0486)",="(0.0453)"

="60.id",="-0.124***",="-0.434***"
="",="(0.0415)",="(0.0321)"

="61.id",="0.231***",="-0.242***"
="",="(0.0396)",="(0.0498)"

="62.id",="0.306***",="-0.223***"
="",="(0.0329)",="(0.0284)"

="63.id",="-0.133***",="-0.773***"
="",="(0.0306)",="(0.0355)"

="64.id",="0.338***",="0.893***"
="",="(0.0508)",="(0.0311)"

="65.id",="-0.480***",="-0.314***"
="",="(0.0453)",="(0.0257)"

="66.id",="0.0466",="-0.750***"
="",="(0.0421)",="(0.0303)"

="67.id",="-0.332***",="0.173***"
="",="(0.0393)",="(0.0383)"

="68.id",="-0.182***",="-0.298***"
="",="(0.0495)",="(0.0326)"

="69.id",="-0.748***",="-0.517***"
="",="(0.0450)",="(0.0263)"

="70.id",="-0.0647*",="-0.497***"
="",="(0.0359)",="(0.0281)"

="71.id",="0.343***",="-0.644***"
="",="(0.0416)",="(0.0418)"

="72.id",="-0.195***",="-0.326***"
="",="(0.0398)",="(0.0400)"

="73.id",="-0.274***",="-0.320***"
="",="(0.0388)",="(0.0352)"

="74.id",="0.172***",="0.0768***"
="",="(0.0407)",="(0.0264)"

="75.id",="-0.128***",="0.286***"
="",="(0.0434)",="(0.0671)"

="76.id",="-0.707***",="0.372***"
="",="(0.0905)",="(0.0306)"

="77.id",="0.114***",="0.212***"
="",="(0.0438)",="(0.0442)"

="78.id",="-0.366***",="-0.322***"
="",="(0.0403)",="(0.0255)"

="79.id",="-0.125***",="-0.281***"
="",="(0.0341)",="(0.0184)"

="80.id",="-0.0990*",="-0.431***"
="",="(0.0515)",="(0.0360)"

="81.id",="0.911***",="-0.119***"
="",="(0.0528)",="(0.0372)"

="82.id",="-0.493***",="-0.847***"
="",="(0.0502)",="(0.0252)"

="83.id",="0.320***",="0.109**"
="",="(0.0396)",="(0.0455)"

="84.id",="0.144***",="0.310***"
="",="(0.0525)",="(0.0371)"

="85.id",="0.124***",="0.315***"
="",="(0.0459)",="(0.0516)"

="86.id",="0.238***",="-0.375***"
="",="(0.0393)",="(0.0384)"

="87.id",="-0.0517",="-0.429***"
="",="(0.0461)",="(0.0441)"

="88.id",="-0.208***",="-0.0150"
="",="(0.0515)",="(0.0290)"

="89.id",="-0.0905*",="0.653***"
="",="(0.0542)",="(0.0406)"

="90.id",="-0.0446",="-0.464***"
="",="(0.0459)",="(0.0245)"

="91.id",="-0.197***",="0.145***"
="",="(0.0381)",="(0.0382)"

