="PSM-DID稳健性检验"

="",="(1)"
="",="esg"

="DID",="-0.0646***"
="",="(0.00900)"

="SIZE",="1.50e-08***"
="",="(1.78e-09)"

="ISR",="-0.000547**"
="",="(0.000235)"

="ROE",="0.00183**"
="",="(0.000882)"

="ARR",="0.000772"
="",="(0.000543)"

="TE",="-6.49e-09**"
="",="(2.90e-09)"

="LEV",="-0.000369"
="",="(0.000346)"

="2010.year",="0"
="",="(.)"

="2011.year",="0.0468***"
="",="(0.0134)"

="2012.year",="0.0529***"
="",="(0.0132)"

="2013.year",="0.105***"
="",="(0.0131)"

="2014.year",="0.162***"
="",="(0.0131)"

="2015.year",="0.162***"
="",="(0.0134)"

="2016.year",="0.202***"
="",="(0.0136)"

="2017.year",="0.242***"
="",="(0.0129)"

="2018.year",="0.275***"
="",="(0.0138)"

="2019.year",="0.307***"
="",="(0.0147)"

="2020.year",="0.337***"
="",="(0.0147)"

="2021.year",="0.381***"
="",="(0.0144)"

="2022.year",="0.414***"
="",="(0.0138)"

="_cons",="0.423***"
="",="(0.0398)"

="N",="2428"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
