="表1 维度一：四大审计对ESG评级分歧度的影响"

="",="(1)",="(2)"
="",="esg",="esg_w"

="DID",="-0.0612***",="-0.0607***"
="",="(0.00772)",="(0.00775)"

="SIZE",="1.62e-08***",="1.61e-08***"
="",="(1.26e-09)",="(1.28e-09)"

="ISR",="-0.000558***",="-0.000557***"
="",="(0.000152)",="(0.000149)"

="ROE",="0.00130**",="0.00133**"
="",="(0.000613)",="(0.000612)"

="ARR",="0.000952**",="0.000979**"
="",="(0.000419)",="(0.000417)"

="TE",="-4.96e-09**",="-4.53e-09**"
="",="(2.02e-09)",="(2.04e-09)"

="LEV",="-0.000232",="-0.000198"
="",="(0.000245)",="(0.000247)"

="2010.year",="0",="0"
="",="(.)",="(.)"

="2011.year",="0.0501***",="0.0504***"
="",="(0.00905)",="(0.00903)"

="2012.year",="0.0591***",="0.0593***"
="",="(0.00914)",="(0.00914)"

="2013.year",="0.103***",="0.102***"
="",="(0.00885)",="(0.00897)"

="2014.year",="0.149***",="0.149***"
="",="(0.00903)",="(0.00910)"

="2015.year",="0.170***",="0.170***"
="",="(0.00894)",="(0.00909)"

="2016.year",="0.204***",="0.204***"
="",="(0.00947)",="(0.00959)"

="2017.year",="0.236***",="0.236***"
="",="(0.00895)",="(0.00900)"

="2018.year",="0.266***",="0.266***"
="",="(0.00912)",="(0.00913)"

="2019.year",="0.298***",="0.298***"
="",="(0.00940)",="(0.00949)"

="2020.year",="0.345***",="0.344***"
="",="(0.00991)",="(0.0100)"

="2021.year",="0.380***",="0.378***"
="",="(0.00887)",="(0.00892)"

="2022.year",="0.405***",="0.404***"
="",="(0.00901)",="(0.00897)"

="_cons",="0.394***",="0.390***"
="",="(0.0274)",="(0.0273)"

="N",="4437",="4437"
="组内R²",="0.547",="0.544"
="企业固定效应",="",=""
="年度固定效应",="",=""

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
