="表1 维度二：四大审计对ESG评级预测力的影响"

="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="负面新闻数_t1",="负面新闻数_t1",="负面新闻数_t1",="负面新闻数_t1",="负面新闻数_t1",="负面新闻数_t2"

="main",="",="",="",="",="",=""
="esg",="0.606***",="-0.221***",="-1.645**",="-0.177**",="-0.222***",="0.0914"
="",="(0.0739)",="(0.0835)",="(0.817)",="(0.0846)",="(0.0838)",="(0.123)"

="ln_size",="0.384***",="0.383***",="4.358***",="0.386***",="0.394***",="-0.0366"
="",="(0.0204)",="(0.0195)",="(0.268)",="(0.0215)",="(0.0203)",="(0.0250)"

="ZCFZL",="0.00478***",="0.00492***",="0.0565***",="0.00533***",="0.00405***",="0.00163"
="",="(0.00169)",="(0.00152)",="(0.0207)",="(0.00177)",="(0.00156)",="(0.00202)"

="ROE",="0.00177",="0.00266",="0.0325",="0.00346",="0.00355",="0.00866*"
="",="(0.00416)",="(0.00385)",="(0.0501)",="(0.00427)",="(0.00423)",="(0.00497)"

="jgcg",="-0.0165***",="-0.0144***",="-0.190***",="-0.0165***",="-0.0151***",="-0.00185"
="",="(0.00148)",="(0.00139)",="(0.0192)",="(0.00152)",="(0.00144)",="(0.00172)"

="2013.year",="0",="0",="0",="0",="0",=""
="",="(.)",="(.)",="(.)",="(.)",="(.)",=""

="2014.year",="-0.0499",="-0.0388",="-0.225",="-0.0213",="-0.0402",=""
="",="(0.0527)",="(0.0491)",="(0.575)",="(0.0519)",="(0.0491)",=""

="2015.year",="-0.0465",="-0.0337",="-0.163",="-0.0243",="-0.0355",="0"
="",="(0.0543)",="(0.0514)",="(0.630)",="(0.0550)",="(0.0515)",="(.)"

="2016.year",="-0.0162",="-0.00277",="-0.00242",="-0.00348",="-0.00376",="-0.0279"
="",="(0.0519)",="(0.0505)",="(0.574)",="(0.0516)",="(0.0507)",="(0.0577)"

="2017.year",="-0.0346",="-0.0478",="-0.0860",="-0.0260",="-0.0498",="0.0245"
="",="(0.0502)",="(0.0497)",="(0.608)",="(0.0541)",="(0.0497)",="(0.0593)"

="2018.year",="-0.00561",="-0.0231",="0.0152",="0.00246",="-0.0250",="0.0196"
="",="(0.0522)",="(0.0563)",="(0.665)",="(0.0592)",="(0.0565)",="(0.0596)"

="2019.year",="-0.0474",="-0.0778",="-0.580",="-0.0518",="-0.0797",="-0.00182"
="",="(0.0537)",="(0.0580)",="(0.723)",="(0.0642)",="(0.0581)",="(0.0624)"

="2020.year",="0.0137",="-0.0292",="-0.0526",="-0.00586",="",="-0.0277"
="",="(0.0549)",="(0.0606)",="(0.753)",="(0.0666)",="",="(0.0681)"

="2021.year",="0.0535",="-0.0244",="0.649",="0.0460",="-0.0258",="-0.0490"
="",="(0.0569)",="(0.0617)",="(0.822)",="(0.0689)",="(0.0617)",="(0.0693)"

="2022.year",="0.0872",="0.0379",="0.600",="0.0560",="0.0380",="0.0304"
="",="(0.0565)",="(0.0638)",="(0.808)",="(0.0704)",="(0.0638)",="(0.0734)"

="Treat",="",="-0.178***",="-2.960***",="-0.180***",="-0.178***",="0.321***"
="",="",="(0.0646)",="(0.912)",="(0.0670)",="(0.0646)",="(0.0861)"

="Post",="",="-0.134**",="-1.522**",="-0.149**",="-0.113**",="0.104"
="",="",="(0.0553)",="(0.628)",="(0.0593)",="(0.0572)",="(0.0673)"

="ESG_Treat",="",="1.456***",="22.64***",="1.541***",="1.453***",="0.112"
="",="",="(0.177)",="(3.378)",="(0.187)",="(0.177)",="(0.240)"

="ESG_Post",="",="0.621***",="6.324***",="0.610***",="0.573***",="-0.0405"
="",="",="(0.113)",="(1.213)",="(0.117)",="(0.120)",="(0.153)"

="Treat_Post",="",="0.0614",="0.235",="0.0657",="0.0187",="0.132"
="",="",="(0.0844)",="(1.237)",="(0.0892)",="(0.0922)",="(0.120)"

="ESG_Treat_Post",="",="-0.314",="-1.980",="-0.387",="-0.233",="-0.586*"
="",="",="(0.237)",="(4.781)",="(0.252)",="(0.254)",="(0.313)"

="_cons",="-3.138***",="-3.127***",="-50.25***",="-3.100***",="-3.226***",="2.727***"
="",="(0.348)",="(0.328)",="(4.356)",="(0.368)",="(0.343)",="(0.429)"

="/",="",="",="",="",="",=""
="lnalpha",="-1.089***",="-1.219***",="",="",="-1.230***",="-0.950***"
="",="(0.0327)",="(0.0307)",="",="",="(0.0311)",="(0.0381)"

="N",="3329",="3329",="3329",="3329",="2996",="2663"
="对数似然值",="-10835.8",="-10675.8",="-11744.1",="-13939.7",="-9581.5",="-8787.3"
="过度分散参数",="",="",="",="",="",=""
="年度固定效应",="",="",="",="",="",=""

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
